albumID,bandID,genre
1,1,Indie pop
2,1,Indie rock
2,1,Indie pop
2,1,Indietronica
3,1,Indie pop
3,1,Acoustic rock
4,2,Duranguense
4,2,Norteño (music)
4,2,Ranchero music
4,2,Norteño music
5,2,Duranguense
6,2,Duranguense
7,3,Electronic body music
8,4,Hardcore punk
9,4,Hardcore punk
10,5,Indie rock
10,5,Indietronica
11,5,Indie rock
11,5,Indietronica
12,6,Garage Rock
13,6,Garage Rock
14,6,Garage Rock
15,6,Garage Rock
16,12,Industrial hip hop
17,13,Indie rock
17,13,Dream pop
17,13,Jangle pop
17,13,Indie pop
17,13,Indietronica
18,13,Surf rock
18,13,Lo-fi music
18,13,Dream pop
18,13,Psychedelic pop
18,13,Indie rock
18,13,Lo-fi
18,13,Indietronica
19,13,Dream pop
19,13,Indie rock
19,13,Jangle pop
19,13,Indietronica
20,13,Indie rock
20,13,Indietronica
21,14,Synthpop
21,14,New wave music
21,14,Hi-NRG
21,14,New wave
22,15,Grindcore
22,15,Industrial death metal
23,15,Grindcore
23,15,Industrial death metal
24,15,Industrial death metal
24,15,Grindcore
25,15,Industrial death metal
25,15,Grindcore
26,15,Grindcore
26,15,Industrial death metal
27,16,A cappella
28,16,A cappella
29,16,A cappella
29,16,Christmas music
30,16,Pop music
30,16,A cappella
30,16,Contemporary R&B
31,16,A cappella
32,16,A cappella
33,16,A cappella
34,17,Alternative metal
34,17,Nu metal
35,17,Nu metal
36,21,Australian hip hop
37,21,Australian hip hop
38,21,Australian hip hop
39,21,Australian hip hop
40,22,Indie rock
40,22,Indietronica
41,22,Indie rock
41,22,Indietronica
42,22,Indie rock
42,22,Indietronica
43,23,Electronica
43,23,Afrobeat
43,23,Hip hop music
43,23,Pop music
43,23,Hip hop
44,24,Alternative rock
44,24,Melodic hardcore
45,24,Hardcore punk
46,24,Hardcore punk
47,26,Alternative hip hop
48,26,Alternative hip hop
49,29,Trad jazz
49,29,Psychedelic pop
49,29,Comedy rock
50,32,Groove metal
50,32,Thrash metal
51,32,Groove metal
51,32,Thrash metal
52,33,Indie rock
52,33,Indietronica
53,35,Stoner rock
53,35,Blues rock
53,35,Doom metal
54,35,Stoner rock
54,35,Doom metal
54,35,Blues rock
55,36,Sludge metal
55,36,Noise rock
56,37,Indie folk
57,38,Progressive rock
58,38,Progressive rock
59,38,Progressive rock
60,38,Progressive rock
61,38,Progressive rock
62,38,Progressive rock
63,38,Progressive rock
64,39,Punk rock
64,39,Alternative rock
65,41,Experimental rock
66,44,Heavy metal music
66,44,J-pop
66,44,Heavy metal
67,44,Death metal
67,44,J-pop
67,44,Heavy metal music
67,44,Heavy metal
68,44,Heavy metal music
68,44,J-pop
68,44,Heavy metal
69,44,J-pop
69,44,Death metal
69,44,Heavy metal music
69,44,Heavy metal
70,44,Kawaii metal
70,44,Melodic metalcore
70,44,Nu metal
70,44,Groove metal
70,44,J-pop
70,44,Viking metal
70,44,Symphonic metal
70,44,Glam metal
70,44,Speed metal
70,44,Progressive metal
70,44,Power metal
70,44,Heavy metal music
70,44,Heavy metal
70,44,Symphonic gothic metal
70,44,Kawaii Metal
70,44,Symphonic power metal
71,44,Death metal
71,44,J-pop
71,44,Heavy metal music
71,44,Heavy metal
72,45,Ambient music
73,46,Psychedelic rock
74,46,Psychedelic rock
74,46,Indie rock
74,46,Shoegaze
74,46,Post-rock
74,46,Indietronica
75,46,Post-rock
75,46,Indie rock
75,46,Psychedelic rock
75,46,Shoegaze
75,46,Indietronica
76,47,Avant-rock
76,47,Neoclassicism (music)
76,47,Minimal music
76,47,Experimental music
77,48,Blues rock
78,48,Blues rock
79,48,Blues rock
80,49,Hardcore punk
81,49,Hardcore punk
81,49,Alternative metal
82,49,Hardcore punk
83,49,Hardcore punk
84,50,Acoustic music
84,50,Pop rock
84,50,Contemporary Christian music
85,52,Pop rock
85,52,Pop punk
85,52,Alternative rock
86,52,Pop rock
86,52,Pop punk
87,52,Pop punk
87,52,Alternative rock
87,52,Pop rock
88,53,Power pop
88,53,Lo-fi
88,53,Indie rock
88,53,Emo
88,53,Post-hardcore
88,53,Indietronica
89,53,Indie rock
89,53,Indietronica
90,53,Emo
91,53,Emo revival
91,53,Indie rock
91,53,Pop punk
91,53,Indietronica
92,54,Rock music
92,54,Progressive rock
93,54,Progressive rock
93,54,Rock music
94,56,Surf music
94,56,Indie pop
95,56,Surf music
95,56,Indie pop
96,56,Indie pop
96,56,Surf music
97,57,Contemporary Christian music
97,57,Christian rock
97,57,Christmas music
97,57,Pop rock
98,57,Christian rock
98,57,Contemporary Christian music
98,57,Pop rock
98,57,Indie rock
98,57,Indietronica
99,58,Experimental music
99,58,Contemporary R&B
99,58,Soul music
99,58,Downtempo
99,58,Soul
100,59,Indie rock
100,59,Indietronica
101,61,Post-hardcore
101,61,Metalcore
102,62,Country music
103,63,Eurodance
104,65,Symphonic power metal
105,65,Power metal
106,66,Pop music
107,67,Garage rock
107,67,Post-punk
107,67,Shoegaze
107,67,Psychedelic rock
108,67,Noise pop
108,67,Psychedelic rock
108,67,Shoegaze
108,67,Art rock
109,68,Post-punk
109,68,Noise pop
109,68,Alternative rock
109,68,Indie rock
109,68,Indietronica
110,68,Noise pop
110,68,Alternative rock
110,68,Indie rock
110,68,Indietronica
111,71,Deathgrind
112,72,Jazz
112,72,Disco
112,72,Funk
112,72,Samba
112,72,Rhythm and blues
112,72,Samba music
113,73,Alternative metal
114,73,Nu metal
114,73,Rapcore
115,76,Glam metal
115,76,Hard rock
116,76,Heavy metal music
116,76,Hard rock
116,76,Heavy metal
117,77,Post-hardcore
117,77,Art punk
117,77,Experimental rock
117,77,Noise rock
118,77,Mathcore
118,77,Grindcore
119,79,Electro house
120,79,Electro house
121,81,Electronica
121,81,House music
121,81,Dance music
122,83,Pop punk
123,87,Metalcore
124,88,Electronic music
125,88,Alternative dance
125,88,Dance-rock
126,89,Dub music
126,89,Reggae
126,89,Dub
127,89,Reggae
128,90,Contemporary Christian music
128,90,Gospel music
129,91,Rock music
130,91,Rock music
131,92,Heavy metal music
131,92,Post-grunge
131,92,Alternative metal
131,92,Heavy metal
132,93,Garage rock
132,93,Indie rock
132,93,Garage punk
132,93,Indietronica
133,93,Garage punk
133,93,Indie rock
133,93,Garage rock
133,93,Indietronica
134,93,Independent music
135,93,Garage rock
135,93,Garage punk
135,93,Indie rock
135,93,Indietronica
136,93,Rock music
137,94,Glam metal
137,94,Heavy metal music
137,94,Hard rock
137,94,Heavy metal
138,94,Heavy metal music
138,94,Glam metal
138,94,Hard rock
138,94,Heavy metal
139,95,Post-grunge
140,96,Pop music
140,96,Alternative rock
140,96,Electronica
141,97,Alternative rock
142,97,Alternative rock
142,97,Jangle pop
143,98,Hard rock
143,98,Heavy metal music
143,98,Heavy metal
144,101,Indie pop
144,101,Indie rock
144,101,Indietronica
145,101,Indie pop
145,101,Indie rock
145,101,Indietronica
146,101,Indie rock
146,101,Indie pop
146,101,Indietronica
147,101,Indie pop
147,101,Indie rock
147,101,Indietronica
148,102,Alternative rock
148,102,Rock music
148,102,Christian rock
149,104,Dance-punk
149,104,Glam punk
149,104,Electroclash
150,106,Avant-rock
151,107,Indie pop
151,107,Indie rock
151,107,Indietronica
152,107,Indie rock
152,107,Indietronica
153,107,Indie pop
153,107,Indie rock
153,107,Indietronica
154,107,Indie pop
155,115,Funk
155,115,R&B
155,115,Soul music
155,115,Soul
156,117,Heavy metal music
156,117,Hard rock
156,117,Glam metal
156,117,Heavy metal
157,118,Experimental music
157,118,Baroque pop
158,118,Experimental music
158,118,Baroque pop
159,118,Indie rock
159,118,Indietronica
160,119,Indie rock
160,119,Indietronica
161,119,Indie rock
161,119,Indietronica
162,119,Indie rock
162,119,Indietronica
163,123,Death metal
164,124,Nu metal
164,124,Rap metal
165,126,Contemporary R&B
165,126,Soul music
165,126,Soul
166,126,Hip hop soul
166,126,Contemporary R&B
166,126,New jack swing
167,127,Rock music
168,133,Avant-garde metal
169,136,Post-hardcore
170,137,Ambient music
170,137,Electronica
171,139,Heavy metal music
171,139,Metalcore
171,139,Death metal
171,139,Industrial metal
171,139,Groove metal
171,139,Thrash metal
171,139,Heavy metal
172,139,Metalcore
172,139,Industrial metal
172,139,Thrash metal
172,139,Groove metal
172,139,Death metal
173,140,Pop punk
173,140,Alternative rock
174,140,Acoustic music
175,140,Pop punk
175,140,Post-hardcore
175,140,Alternative rock
176,140,Post-hardcore
176,140,Alternative rock
177,141,Indie pop
178,141,Indie pop
179,144,Electronic music
180,144,Electronic music
180,144,Futurepop
181,144,Electronic music
181,144,Futurepop
182,144,Electronic music
183,144,Electronic music
184,151,Metalcore
185,152,Post-hardcore
186,152,Hardcore punk
186,152,Pop punk
186,152,Christian punk
187,152,Christian punk
187,152,Post-hardcore
188,154,Alternative rock
188,154,Rock music
188,154,Post-grunge
189,154,Rock music
190,154,Rock music
190,154,Pop punk
190,154,Post-grunge
190,154,Pop rock
191,157,Gothic metal
