band,start,end
http://dbpedia.org/resource/Maritime_(band),"2003","2003"
http://dbpedia.org/resource/Denali_(band),"2000","2004"
http://dbpedia.org/resource/Compulsive_Gamblers,"1990","1990"
http://dbpedia.org/resource/Fiasco_(band),"2005","2012"
http://dbpedia.org/resource/Pist.On,"1993","2001"
http://dbpedia.org/resource/The_Bambi_Molesters,"1995","1995"
http://dbpedia.org/resource/Ten_Shekel_Shirt,"2000","2008"
http://dbpedia.org/resource/Strange_Parcels,"1991","1994"
http://dbpedia.org/resource/Kon_Kan,"1988","1994"
http://dbpedia.org/resource/The_Berzerker,"1995","2010"
http://dbpedia.org/resource/From_Zero,"1998","2005"
http://dbpedia.org/resource/LaRue_(band),"1999","2003"
http://dbpedia.org/resource/The_Cops_(Australian_band),"2003","2008"
http://dbpedia.org/resource/No_Warning_(band),"1998","2005"
http://dbpedia.org/resource/It's_a_Beautiful_Day,"1967","1974"
http://dbpedia.org/resource/Red_Rockers,"1979","1985"
http://dbpedia.org/resource/Bonzo_Dog_Doo-Dah_Band,"1962","1970"
http://dbpedia.org/resource/The_Lowest_of_the_Low,"1991","1991"
http://dbpedia.org/resource/What_Is_This%3F,"1980","1986"
http://dbpedia.org/resource/Lazarus_A.D.,"2005","2015"
http://dbpedia.org/resource/The_Reindeer_Section,"2001","2002"
http://dbpedia.org/resource/Part_Chimp,"2000","2011"
http://dbpedia.org/resource/The_Joykiller,"1995","1995"
http://dbpedia.org/resource/Slovenly_(band),"1981","1992"
http://dbpedia.org/resource/Dying_Machines,"2011","2011"
http://dbpedia.org/resource/The_Besnard_Lakes,"2003","2003"
http://dbpedia.org/resource/Straight_Faced,"1992","2001"
http://dbpedia.org/resource/Cosmos_(band),"2002","2002"
http://dbpedia.org/resource/Tennis_(band),"2010","2010"
http://dbpedia.org/resource/Alaska!,"2000","2005"
http://dbpedia.org/resource/The_Dead_Rabbitts,"2011","2011"
http://dbpedia.org/resource/Celesty,"1998","2012"
http://dbpedia.org/resource/D'Nash,"2006","2013"
http://dbpedia.org/resource/Grazhdanskaya_Oborona,"1984","1985"
http://dbpedia.org/resource/Helium_(band),"1992","1998"
http://dbpedia.org/resource/Jah_Roots,"2001","2009"
http://dbpedia.org/resource/Sheila_(and)_B._Devotion,"1977","1980"
http://dbpedia.org/resource/Blindspott,"1997","2007"
http://dbpedia.org/resource/Gerling,"1993","2007"
http://dbpedia.org/resource/Frehley's_Comet,"1984","1988"
http://dbpedia.org/resource/Daughters_(band),"2001","2009"
http://dbpedia.org/resource/Gotham_Road,"2002","2002"
http://dbpedia.org/resource/Project_Rocket,"2002","2003"
