bands,albums
1,1
1,2
1,3
2,4
2,5
2,7
3,8
4,9
4,10
5,11
5,12
6,13
6,14
6,15
6,16
12,17
13,18
13,19
13,20
13,21
14,22
15,23
15,24
15,25
15,26
15,27
16,28
16,29
16,30
16,31
16,32
16,33
16,34
17,35
17,36
21,37
21,38
21,39
21,40
22,41
22,42
22,43
23,44
24,45
24,46
24,47
26,48
26,49
29,50
32,51
32,52
33,53
35,54
35,55
36,56
37,57
38,58
38,59
38,60
38,61
38,62
38,63
38,64
39,65
41,66
44,67
44,68
44,69
44,70
44,71
44,72
45,73
46,74
46,75
46,76
47,77
48,78
48,79
48,80
49,81
49,82
49,83
49,84
50,85
52,88
52,89
52,90
53,91
53,92
53,93
53,94
54,95
54,96
56,97
56,98
56,99
57,100
57,101
58,102
59,103
61,105
62,106
63,107
65,108
65,109
66,111
67,112
67,113
68,114
68,115
71,116
72,117
73,118
73,119
76,120
76,121
77,122
77,123
79,124
79,125
81,126
83,128
87,129
88,130
88,131
89,132
89,133
90,134
91,135
91,136
92,137
93,138
93,139
93,140
93,141
93,142
94,143
94,144
95,145
96,146
97,147
97,148
98,149
101,151
101,152
101,153
101,154
102,155
104,156
106,157
107,158
107,159
107,160
107,161
115,162
117,163
118,164
118,165
118,166
119,167
119,168
119,169
123,170
124,171
126,172
126,173
127,174
133,175
136,176
137,177
139,178
139,179
140,180
140,181
140,182
140,183
141,184
141,185
144,186
144,187
144,188
144,189
144,190
151,191
152,192
152,193
152,194
154,196
154,197
154,198
157,199
160,200
162,202
163,203
163,204
165,205
166,206
168,207
171,208
171,209
171,210
172,211
173,212
175,213
175,214
175,215
176,216
177,217
178,218
178,219
179,220
180,221
185,222
192,224
194,225
196,226
196,227
197,228
198,229
199,230
202,231
204,232
205,233
206,234
206,235
206,236
206,237
207,238
212,239
212,240
213,241
213,242
213,243
213,244
213,245
213,246
213,247
213,248
213,249
213,250
213,252
213,253
214,254
214,255
214,256
214,257
216,258
216,259
217,260
218,261
218,262
219,263
219,264
219,265
219,266
220,267
221,268
222,270
222,271
222,272
222,273
222,274
225,276
225,277
225,278
226,279
227,280
227,281
230,282
230,283
231,284
231,285
233,286
233,287
233,288
233,289
233,290
233,291
234,292
234,293
234,294
235,295
235,296
235,297
235,298
235,299
235,300
236,301
236,302
236,303
239,304
240,305
240,306
240,307
240,308
240,309
240,310
240,311
240,313
241,314
241,316
241,317
241,319
241,320
241,321
242,322
242,323
242,324
242,325
242,326
243,327
243,328
243,329
243,330
244,331
244,332
244,333
244,334
244,335
245,337
246,340
246,342
247,343
247,344
247,345
247,346
248,347
250,348
250,349
250,350
250,352
250,353
251,354
254,355
254,356
254,357
254,358
254,359
255,360
256,361
256,362
257,363
259,364
260,366
260,367
260,368
261,369
261,370
261,371
261,372
262,373
262,374
262,375
263,376
263,377
263,378
263,379
263,380
265,381
265,382
265,383
265,384
267,385
267,386
267,394
267,399
267,401
272,402
272,403
272,404
272,405
272,406
272,407
273,408
273,409
273,410
273,411
276,412
276,413
276,414
277,415
277,416
277,417
277,419
277,420
277,421
278,422
279,425
280,427
280,428
281,429
281,430
281,431
281,432
281,433
281,434
282,435
282,436
282,437
282,438
282,439
282,440
283,441
283,442
283,443
283,444
283,445
284,446
284,447
284,448
286,449
286,450
288,452
290,453
290,454
290,455
290,456
290,457
291,458
291,459
291,460
291,461
291,462
291,463
291,464
292,465
294,466
294,467
294,468
294,469
295,470
295,471
295,472
296,473
296,474
297,475
297,476
297,477
299,478
299,479
299,480
301,481
301,482
302,483
302,484
302,485
303,486
303,487
303,489
303,490
303,491
303,492
303,493
303,494
303,495
303,496
303,498
303,499
304,500
304,501
304,502
304,503
304,504
304,505
305,506
305,507
309,508
311,509
312,510
312,511
315,512
315,513
315,514
318,515
319,516
320,517
321,518
321,519
321,520
323,521
323,522
323,523
323,524
323,525
323,526
323,527
323,528
323,529
323,530
323,531
323,532
323,533
324,534
325,535
327,536
327,537
327,538
327,539
327,540
327,541
327,542
327,543
327,544
327,545
327,546
327,547
327,548
327,549
327,550
327,551
327,552
327,553
327,554
327,555
328,556
328,557
328,558
329,559
329,560
329,561
329,562
332,563
332,564
332,565
332,566
332,567
332,568
332,569
332,570
332,571
332,572
333,573
333,576
333,581
334,583
334,584
336,585
337,586
337,587
337,588
337,589
337,590
337,591
337,592
338,593
338,594
338,595
338,596
338,597
339,598
339,599
340,600
340,601
340,605
340,606
340,607
341,608
341,609
341,610
341,611
343,612
343,613
343,614
343,616
343,617
343,618
343,619
346,620
348,621
348,622
349,623
349,624
349,625
350,626
350,627
350,628
351,630
351,631
351,632
351,633
351,634
352,636
352,637
352,639
352,640
353,641
353,642
354,643
354,644
357,645
357,646
357,648
357,649
357,650
357,651
358,652
358,653
358,654
358,655
358,656
358,657
358,658
358,659
358,660
358,661
358,662
359,663
360,664
360,665
360,666
360,668
360,669
360,670
360,671
360,672
360,673
361,674
361,675
362,676
362,677
362,678
363,679
363,680
364,681
364,682
366,683
366,684
366,685
367,686
367,687
367,688
367,689
367,690
367,691
367,692
368,693
368,694
368,695
368,696
368,697
368,698
368,700
368,701
369,702
370,703
372,704
372,705
372,706
372,707
372,708
372,709
372,711
372,712
373,713
374,714
374,715
376,716
376,717
376,718
376,719
376,720
377,721
377,722
377,723
377,724
379,725
380,726
380,727
382,728
382,729
382,730
382,731
383,732
383,733
384,734
385,735
386,737
386,738
386,739
386,740
386,741
386,742
386,743
386,744
386,745
387,746
387,747
387,748
387,749
387,750
387,751
387,752
387,753
387,754
387,755
388,756
388,757
388,758
389,759
389,760
390,761
391,762
391,763
391,764
391,765
391,766
391,767
391,768
391,769
391,770
391,771
391,772
391,773
391,774
391,775
392,776
392,777
392,778
392,779
392,780
392,781
392,782
392,783
392,784
392,785
392,786
392,787
394,788
395,790
397,791
399,792
400,793
402,794
403,796
403,797
403,798
403,800
403,801
404,802
404,803
404,804
407,805
407,806
407,807
409,808
409,809
409,810
409,811
409,812
409,813
409,814
409,815
409,816
409,817
409,818
409,819
409,820
409,821
409,822
410,823
410,824
410,825
410,826
410,827
411,829
411,830
411,832
411,833
411,834
412,835
413,836
413,837
413,838
413,839
413,840
413,841
413,842
413,843
413,844
413,845
413,846
414,847
414,848
414,849
414,850
414,851
414,852
414,853
414,854
414,855
414,856
414,857
414,858
414,859
414,860
414,861
415,862
415,863
415,864
415,865
415,866
415,867
415,868
416,869
416,870
416,871
416,872
416,873
416,874
416,875
416,876
416,877
418,878
418,879
420,880
420,881
421,882
421,883
422,884
422,885
424,886
426,887
426,888
428,889
428,890
428,891
428,892
429,893
429,894
429,895
429,896
429,897
429,898
429,899
429,900
429,901
429,902
429,903
430,904
430,905
430,906
430,907
430,908
430,909
430,910
430,911
431,912
431,913
431,914
431,915
432,916
433,917
434,918
437,919
437,920
437,921
437,922
438,923
438,924
438,925
440,927
441,928
441,929
441,930
442,931
444,932
444,933
444,934
445,935
445,936
445,937
445,938
445,939
445,940
445,941
447,942
447,943
447,944
450,945
450,946
450,947
450,948
450,949
450,950
451,951
451,952
451,953
451,954
452,955
452,956
452,957
453,958
453,959
453,960
453,962
453,963
454,964
454,965
456,966
456,967
456,968
457,969
457,970
458,971
460,972
460,973
462,974
463,975
463,978
465,980
465,981
465,982
465,984
465,986
465,987
465,988
465,989
465,990
465,991
465,992
465,993
465,994
465,995
465,996
465,997
465,998
465,999
465,1000
465,1001
465,1002
465,1003
465,1004
465,1005
465,1006
465,1007
465,1008
465,1009
465,1010
465,1011
465,1012
465,1013
465,1014
465,1015
465,1016
465,1017
465,1018
465,1020
465,1021
465,1022
465,1023
465,1024
465,1025
465,1026
465,1027
465,1028
465,1029
465,1030
465,1031
465,1032
465,1033
465,1034
465,1035
465,1036
465,1037
465,1038
465,1039
465,1040
465,1041
465,1042
465,1043
465,1044
465,1045
465,1046
465,1047
465,1048
465,1049
465,1050
465,1051
465,1052
465,1053
465,1054
465,1055
465,1056
465,1057
465,1058
465,1059
465,1060
465,1061
465,1062
465,1063
465,1064
465,1065
465,1066
465,1067
465,1068
465,1069
465,1070
465,1071
465,1072
465,1073
465,1075
465,1076
465,1077
465,1078
465,1079
465,1080
465,1081
465,1083
465,1084
465,1085
465,1086
465,1088
465,1089
465,1090
465,1091
465,1092
465,1093
465,1094
465,1095
465,1096
465,1097
465,1098
465,1099
465,1101
465,1102
465,1103
465,1104
465,1107
465,1108
465,1109
465,1110
465,1111
465,1112
465,1113
465,1114
465,1115
465,1116
465,1117
465,1118
465,1119
465,1120
465,1121
465,1122
465,1123
465,1125
465,1126
465,1127
465,1128
465,1129
465,1130
465,1131
465,1132
465,1133
465,1134
465,1135
465,1136
465,1137
465,1138
465,1139
465,1140
465,1141
465,1142
465,1143
465,1144
465,1145
465,1146
465,1147
465,1148
465,1150
465,1151
465,1152
465,1153
465,1154
465,1155
465,1156
465,1157
465,1158
465,1159
465,1160
465,1161
465,1162
465,1163
465,1164
465,1165
465,1166
465,1167
465,1168
465,1169
465,1170
465,1171
465,1172
465,1173
465,1174
465,1175
465,1176
465,1177
465,1178
465,1179
465,1180
465,1181
465,1182
465,1183
465,1184
465,1185
465,1186
465,1187
465,1188
465,1189
465,1190
465,1191
465,1192
465,1193
465,1194
465,1195
465,1196
465,1197
465,1198
466,1200
466,1201
466,1202
466,1203
466,1204
467,1205
467,1206
467,1207
467,1208
467,1209
467,1210
467,1211
467,1212
467,1213
467,1214
467,1215
468,1216
468,1217
468,1218
468,1219
468,1220
468,1221
468,1222
468,1223
468,1224
468,1225
468,1226
468,1227
468,1228
469,1229
469,1230
469,1234
469,1235
470,1239
470,1240
470,1241
470,1242
470,1243
471,1245
472,1246
472,1247
473,1248
473,1249
473,1250
473,1251
474,1252
474,1253
474,1254
474,1255
474,1257
474,1258
474,1260
474,1262
474,1263
474,1264
474,1265
474,1266
474,1267
474,1268
474,1269
474,1270
474,1271
474,1272
474,1273
475,1274
475,1275
475,1276
475,1277
475,1278
475,1279
475,1280
476,1281
477,1282
477,1283
477,1284
477,1285
477,1286
477,1287
477,1288
477,1289
477,1290
477,1291
477,1292
477,1293
477,1294
477,1295
477,1296
477,1297
477,1298
477,1299
478,1300
478,1301
478,1302
478,1303
478,1304
478,1305
478,1306
478,1307
478,1308
479,1309
479,1310
479,1311
479,1312
479,1313
479,1314
479,1315
479,1316
479,1317
479,1318
479,1319
479,1320
479,1321
479,1322
479,1323
481,1324
481,1325
481,1326
481,1327
481,1328
481,1329
481,1330
481,1331
481,1332
481,1333
481,1334
481,1335
481,1336
482,1337
482,1338
482,1339
482,1340
482,1341
482,1342
482,1343
482,1344
482,1345
482,1346
482,1347
482,1348
482,1349
482,1350
482,1351
482,1352
482,1353
482,1354
482,1355
482,1356
482,1357
482,1358
482,1359
482,1360
483,1361
483,1362
483,1363
483,1364
483,1365
483,1366
483,1367
484,1368
484,1369
484,1370
484,1371
484,1372
484,1373
484,1374
486,1375
486,1376
486,1377
486,1378
486,1379
486,1380
486,1381
486,1382
487,1383
487,1384
487,1385
487,1386
487,1387
487,1388
487,1389
487,1390
487,1392
487,1393
487,1394
487,1395
487,1396
487,1397
487,1398
488,1399
488,1400
488,1401
488,1402
488,1403
489,1404
489,1405
489,1406
489,1407
489,1408
489,1409
489,1410
489,1411
489,1412
491,1413
491,1414
493,1415
493,1416
493,1417
493,1418
493,1419
493,1420
493,1421
493,1422
493,1423
495,1424
495,1425
495,1426
495,1427
495,1428
495,1429
495,1430
495,1431
496,1432
496,1433
497,1434
497,1435
498,1436
498,1437
498,1438
498,1440
498,1441
498,1442
498,1443
498,1444
498,1445
498,1446
498,1447
498,1448
498,1450
498,1451
498,1452
498,1454
498,1455
498,1456
498,1457
498,1459
498,1460
498,1461
498,1462
498,1463
498,1464
498,1466
498,1467
498,1469
498,1470
498,1471
498,1472
498,1473
498,1474
498,1475
498,1476
498,1477
498,1478
498,1479
498,1480
498,1483
498,1484
499,1485
500,1486
500,1487
501,1488
501,1489
502,1490
502,1491
502,1492
503,1493
503,1494
503,1495
503,1496
503,1497
503,1498
503,1499
503,1500
503,1501
504,1502
504,1503
504,1504
504,1505
504,1506
504,1507
504,1508
504,1509
504,1510
504,1511
504,1512
504,1513
504,1514
504,1515
504,1516
504,1517
504,1518
504,1519
504,1520
504,1521
504,1522
504,1523
504,1524
504,1525
504,1526
504,1527
504,1528
504,1529
504,1530
504,1531
504,1532
504,1533
504,1534
504,1535
504,1536
504,1537
504,1538
505,1539
505,1540
505,1541
505,1542
505,1543
505,1544
505,1545
505,1546
505,1547
505,1548
505,1549
505,1550
505,1551
505,1552
505,1553
505,1554
505,1555
505,1556
505,1557
505,1558
505,1559
505,1560
505,1561
505,1562
505,1563
505,1564
505,1565
505,1566
505,1567
505,1568
505,1569
505,1570
505,1571
505,1572
505,1573
505,1574
505,1575
505,1576
505,1577
505,1578
505,1579
505,1580
505,1581
505,1582
505,1583
505,1584
505,1585
505,1586
505,1587
505,1588
505,1589
505,1590
505,1591
505,1592
505,1593
505,1594
505,1595
