bands,artists,isActive,exitCount
1,2566,1.0,0.0
1,10611,0.0,1.0
5,1487,0.0,1.0
5,5972,0.0,1.0
5,7282,0.0,1.0
6,3888,1.0,0.0
6,4431,1.0,0.0
9,5545,0.0,1.0
12,3013,0.0,1.0
12,5993,0.0,1.0
12,6587,0.0,2.0
13,258,1.0,0.0
13,7061,1.0,0.0
13,7227,0.0,1.0
16,6122,1.0,0.0
16,6209,1.0,0.0
19,5415,0.0,1.0
19,8525,0.0,1.0
20,7898,0.0,1.0
20,8728,0.0,1.0
21,6077,1.0,0.0
21,11158,1.0,0.0
26,6714,1.0,0.0
27,1426,0.0,1.0
27,2637,1.0,0.0
27,10848,0.0,1.0
27,11165,1.0,0.0
28,5027,0.0,1.0
28,5485,0.0,1.0
29,1110,1.0,0.0
29,2787,0.0,1.0
29,6356,1.0,0.0
29,6472,0.0,1.0
29,7953,1.0,0.0
29,9290,1.0,0.0
29,9316,1.0,0.0
29,11258,0.0,1.0
30,9351,1.0,0.0
30,10153,0.0,1.0
31,190,0.0,1.0
31,626,0.0,1.0
31,3418,0.0,1.0
31,4140,0.0,1.0
31,4414,0.0,1.0
33,153,1.0,0.0
33,1156,1.0,0.0
33,2045,1.0,0.0
33,3341,1.0,0.0
33,3594,1.0,0.0
33,3626,1.0,0.0
33,4238,1.0,0.0
33,5302,1.0,0.0
33,5666,1.0,0.0
33,6771,1.0,0.0
33,6955,1.0,0.0
33,7515,1.0,0.0
33,8140,1.0,0.0
33,9003,1.0,0.0
33,9286,1.0,0.0
44,7772,1.0,0.0
44,10414,1.0,0.0
44,11470,1.0,0.0
46,4401,1.0,0.0
47,5683,1.0,0.0
48,1845,1.0,0.0
48,3729,0.0,1.0
48,7928,1.0,0.0
48,10983,1.0,0.0
51,6735,1.0,0.0
52,10520,1.0,0.0
55,5872,1.0,0.0
59,4317,0.0,1.0
59,9483,0.0,1.0
61,298,0.0,1.0
61,2115,1.0,0.0
64,5716,1.0,0.0
65,643,0.0,1.0
67,310,0.0,1.0
67,7894,1.0,0.0
67,8175,0.0,1.0
67,11429,0.0,1.0
67,11438,1.0,0.0
68,696,0.0,1.0
68,7127,0.0,1.0
68,7131,0.0,1.0
72,9874,1.0,0.0
74,849,0.0,2.0
74,1441,0.0,1.0
74,2401,0.0,2.0
76,62,0.0,1.0
76,633,0.0,1.0
76,4560,0.0,1.0
76,5448,0.0,1.0
76,10801,0.0,1.0
77,326,1.0,0.0
77,5623,1.0,0.0
78,7492,1.0,0.0
79,173,1.0,0.0
79,4920,1.0,0.0
80,7120,1.0,0.0
80,9369,0.0,1.0
82,4108,1.0,0.0
83,520,0.0,1.0
85,6912,1.0,0.0
