id,genre
1,Indie pop
2,Indie rock
3,Indietronica
4,Acoustic rock
5,Duranguense
6,Norteño (music)
7,Ranchero music
8,Norteño music
9,Electronic body music
10,Hardcore punk
11,Garage Rock
12,Industrial hip hop
13,Dream pop
14,Jangle pop
15,Surf rock
16,Lo-fi music
17,Psychedelic pop
18,Lo-fi
19,Synthpop
20,New wave music
21,Hi-NRG
22,New wave
23,Grindcore
24,Industrial death metal
25,A cappella
26,Christmas music
27,Pop music
28,Contemporary R&B
29,Alternative metal
30,Nu metal
31,Australian hip hop
32,Electronica
33,Afrobeat
34,Hip hop music
35,Hip hop
36,Alternative rock
37,Melodic hardcore
38,Alternative hip hop
39,Trad jazz
40,Comedy rock
41,Groove metal
42,Thrash metal
43,Stoner rock
44,Blues rock
45,Doom metal
46,Sludge metal
47,Noise rock
48,Indie folk
49,Progressive rock
50,Punk rock
51,Experimental rock
52,Heavy metal music
53,J-pop
54,Heavy metal
55,Death metal
56,Kawaii metal
57,Melodic metalcore
58,Viking metal
59,Symphonic metal
60,Glam metal
61,Speed metal
62,Progressive metal
63,Power metal
64,Symphonic gothic metal
65,Kawaii Metal
66,Symphonic power metal
67,Ambient music
68,Psychedelic rock
69,Shoegaze
70,Post-rock
71,Avant-rock
72,Neoclassicism (music)
73,Minimal music
74,Experimental music
75,Acoustic music
76,Pop rock
77,Contemporary Christian music
78,Pop punk
79,Power pop
80,Emo
81,Post-hardcore
82,Emo revival
83,Rock music
84,Surf music
85,Christian rock
86,Soul music
87,Downtempo
88,Soul
89,Metalcore
90,Country music
91,Eurodance
92,Garage rock
93,Post-punk
94,Noise pop
95,Art rock
96,Deathgrind
97,Jazz
98,Disco
99,Funk
100,Samba
101,Rhythm and blues
102,Samba music
103,Rapcore
104,Hard rock
105,Art punk
106,Mathcore
107,Electro house
108,House music
109,Dance music
110,Electronic music
111,Alternative dance
112,Dance-rock
113,Dub music
114,Reggae
115,Dub
116,Gospel music
117,Post-grunge
118,Garage punk
119,Independent music
120,Dance-punk
121,Glam punk
122,Electroclash
123,R&B
124,Baroque pop
125,Rap metal
126,Hip hop soul
127,New jack swing
128,Avant-garde metal
129,Industrial metal
130,Futurepop
131,Christian punk
132,Gothic metal
133,Extreme metal
134,Britpop
135,Anti-Orchestra
136,Polka Punk
137,Black metal
138,Unblack metal
139,Symphonic black metal
140,Post-punk revival
141,Deathcore
142,Stoner metal
143,Melodic death metal
144,Contemporary classical music
145,String quartet
146,Chamber music
147,Minimalist music
148,Psychedelic music
149,Electro music
150,Folk music
151,Traditional folk music
152,Medieval metal
153,Indie (music)
154,Trip hop
155,Electro-industrial
156,Aggrotech
157,Garage rock revival
158,Rockabilly
159,Palm Desert Scene
160,Desert rock
161,Dancehall
162,Reggae fusion
163,Folk rock
164,Teen pop
165,Latin pop
166,Post grunge
167,Ska punk
168,Indie Rock
169,Blues
170,Classical music
171,Indie music
172,Instrumental rock
173,Jazz fusion
174,Jazz rock
175,Gothic rock
176,Glam rock
177,Rock and roll
178,Horror punk
179,Alternative music
180,Christian alternative rock
181,Christian alternative music
182,Texas blues
183,Southern rock
184,Neotraditional country
185,Power Metal
186,Thrash Metal
187,Indie Pop
188,Drum and bass
189,Soft rock
190,Crust punk
191,Electronic rock
192,Electropop
193,K-pop
194,Dance-pop
195,Electronic dance music
196,Electronic dance muslc
197,Kpop
198,Swamp rock
199,Roots rock
200,Funk rock
201,Country rock
202,Video game music
203,Experimental metal
204,Djent
205,Space rock
206,Emo (music)
207,Mandopop
208,Bluegrass music
209,Bluegrass
210,Pop-punk
211,Pop Punk
212,Alternative Rock
213,Pop Rock
214,Comedy music
215,Acid jazz
216,Avant-garde music
217,Avant-garde
218,Microhouse
219,Grunge
220,Pub rock (United Kingdom)
221,Comedy
222,British rhythm and blues
223,Beat music
224,Beat
225,Cowpunk
226,Punkabilly
227,Rap
228,Gangsta rap
229,Horrorcore
230,Hardcore hip hop
231,Gangsta Rap
232,Boom bap
233,G-Funk
234,Darkwave
235,Salsa music
236,Ska
237,Salsa
238,Crossover thrash
239,Contemporary Christian
240,Pop (music)
241,House (music)
242,Dance (music)
243,Bubblegum pop
244,Electropunk
245,Emo pop
246,Folk punk
247,Emo-pop
248,Heartland rock
249,Rap rock
250,Pop rap
251,Pop-rap
252,%3C!--DO NOT--%3EDe%3C!--CHANGE--%3Eath%3C!--THIS SECTION--%3Eco%3C!--WITHOUT CONSULTING THE TALK PAGE--%3Ere
253,Psychedelic soul
254,World music
255,Latin American music
256,Americana music
257,Indie Folk
258,World Music
259,Americana (music)
260,Technopop
261,J-Pop
262,Techno
263,Chiptune
264,Bitpop
265,Punk blues
266,Electronicore
267,Disco house
268,Electro
269,Nu-disco
270,Urban contemporary
271,Skate punk
272,Technical death metal
273,Rock opera
274,UK garage
275,Melodic rock
276,doom
277,Drone music
278,Soul blues
279,Folk metal
280,Celtic metal
281,Industrial rock
282,East Coast hip hop
283,Hardcore Punk
284,Post-Hardcore
285,Emocore
286,Screamo
287,Post Hardcore
288,Twee pop
289,Cuddlecore
290,Blue-eyed soul
291,Philly soul
292,Post-Rock
293,Underground Rap
294,Intelligent Dance Music
295,Intelligent dance music
296,Underground rap
297,Blues-rock
298,Dark wave
299,World (music)
300,Orchestral pop
301,Chamber pop
302,Art pop
303,Contemporary worship music
304,Christian Rock
305,Original Pilipino Music
306,Pinoy Rock
307,Anti-folk
308,Detroit techno
309,Anarcho-punk
310,Anarcho punk
311,Rhythm and Blues
312,Easy listening
313,Raga rock
314,Proto-punk
315,Skiffle
316,Psychedelic folk
317,Lullaby
318,Instrumental music
319,Jazz-pop
320,Surreal humour
321,Spoken word
322,Music hall
323,Vaudeville
324,Folk pop
325,Orchestral music
326,Music of India
327,Circus music
